Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Gypsophila polyclada,"TI=""Gypsophila polyclada"" OR AB=""Gypsophila polyclada"" OR AK=""Gypsophila polyclada""",Michael,0,
Dianthus alpinus,"TI=""Dianthus alpinus"" OR AB=""Dianthus alpinus"" OR AK=""Dianthus alpinus""",Michael,2,
Dianthus arenarius,"TI=""Dianthus arenarius"" OR AB=""Dianthus arenarius"" OR AK=""Dianthus arenarius""",Michael,1,
Dianthus pontederae,"TI=""Dianthus pontederae"" OR AB=""Dianthus pontederae"" OR AK=""Dianthus pontederae""",Michael,1,
Dianthus humilis,"TI=""Dianthus humilis"" OR AB=""Dianthus humilis"" OR AK=""Dianthus humilis""",Michael,0,
Dianthus attenuatus,"TI=""Dianthus attenuatus"" OR AB=""Dianthus attenuatus"" OR AK=""Dianthus attenuatus""",Michael,0,
Dianthus crinitus,"TI=""Dianthus crinitus"" OR AB=""Dianthus crinitus"" OR AK=""Dianthus crinitus""",Michael,3,
Dianthus cruentus,"TI=""Dianthus cruentus"" OR AB=""Dianthus cruentus"" OR AK=""Dianthus cruentus""",Michael,1,
Dianthus seguieri,"TI=""Dianthus seguieri"" OR AB=""Dianthus seguieri"" OR AK=""Dianthus seguieri""",Michael,1,
Dianthus orientalis,"TI=""Dianthus orientalis"" OR AB=""Dianthus orientalis"" OR AK=""Dianthus orientalis""",Michael,0,
Dianthus gracilis,"TI=""Dianthus gracilis"" OR AB=""Dianthus gracilis"" OR AK=""Dianthus gracilis""",Michael,0,
Dianthus carthusianorum,"TI=""Dianthus carthusianorum"" OR AB=""Dianthus carthusianorum"" OR AK=""Dianthus carthusianorum""",Michael,34,
Dianthus anatolicus,"TI=""Dianthus anatolicus"" OR AB=""Dianthus anatolicus"" OR AK=""Dianthus anatolicus""",Michael,0,
Dianthus corymbosus,"TI=""Dianthus corymbosus"" OR AB=""Dianthus corymbosus"" OR AK=""Dianthus corymbosus""",Michael,0,
Gypsophila gmelini,"TI=""Gypsophila gmelini"" OR AB=""Gypsophila gmelini"" OR AK=""Gypsophila gmelini""",Michael,0,
Psammophiliella muralis,"TI=""Psammophiliella muralis"" OR AB=""Psammophiliella muralis"" OR AK=""Psammophiliella muralis""",Michael,0,
Gypsophila pacifica,"TI=""Gypsophila pacifica"" OR AB=""Gypsophila pacifica"" OR AK=""Gypsophila pacifica""",Michael,4,
