Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Atocion armeria,"TI=""Atocion armeria"" OR AB=""Atocion armeria"" OR AK=""Atocion armeria""",Hildi,0,
Spergularia media,"TI=""Spergularia media"" OR AB=""Spergularia media"" OR AK=""Spergularia media""",Hildi,7,
Dianthus borbasii,"TI=""Dianthus borbasii"" OR AB=""Dianthus borbasii"" OR AK=""Dianthus borbasii""",Hildi,0,
Silene adenopetala,"TI=""Silene adenopetala"" OR AB=""Silene adenopetala"" OR AK=""Silene adenopetala""",Hildi,0,
Spergularia canadensis,"TI=""Spergularia canadensis"" OR AB=""Spergularia canadensis"" OR AK=""Spergularia canadensis""",Hildi,5,
Silene multifida,"TI=""Silene multifida"" OR AB=""Silene multifida"" OR AK=""Silene multifida""",Hildi,1,
Silene procumbens,"TI=""Silene procumbens"" OR AB=""Silene procumbens"" OR AK=""Silene procumbens""",Hildi,0,
Cerastium tianschanicum,"TI=""Cerastium tianschanicum"" OR AB=""Cerastium tianschanicum"" OR AK=""Cerastium tianschanicum""",Hildi,0,
Cerastium purpurascens,"TI=""Cerastium purpurascens"" OR AB=""Cerastium purpurascens"" OR AK=""Cerastium purpurascens""",Hildi,0,
Silene rhynchocarpa,"TI=""Silene rhynchocarpa"" OR AB=""Silene rhynchocarpa"" OR AK=""Silene rhynchocarpa""",Hildi,0,
Silene arguta,"TI=""Silene arguta"" OR AB=""Silene arguta"" OR AK=""Silene arguta""",Hildi,0,
Silene odontopetala,"TI=""Silene odontopetala"" OR AB=""Silene odontopetala"" OR AK=""Silene odontopetala""",Hildi,1,
Minuartia meyeri,"TI=""Minuartia meyeri"" OR AB=""Minuartia meyeri"" OR AK=""Minuartia meyeri""",Hildi,2,
Arenaria saponarioides,"TI=""Arenaria saponarioides"" OR AB=""Arenaria saponarioides"" OR AK=""Arenaria saponarioides""",Hildi,0,
Silene marschallii,"TI=""Silene marschallii"" OR AB=""Silene marschallii"" OR AK=""Silene marschallii""",Hildi,2,
Bufonia tenuifolia,"TI=""Bufonia tenuifolia"" OR AB=""Bufonia tenuifolia"" OR AK=""Bufonia tenuifolia""",Hildi,1,
Dianthus floribundus,"TI=""Dianthus floribundus"" OR AB=""Dianthus floribundus"" OR AK=""Dianthus floribundus""",Hildi,0,
Dianthus masmenaeus,"TI=""Dianthus masmenaeus"" OR AB=""Dianthus masmenaeus"" OR AK=""Dianthus masmenaeus""",Hildi,0,
Dianthus zonatus,"TI=""Dianthus zonatus"" OR AB=""Dianthus zonatus"" OR AK=""Dianthus zonatus""",Hildi,2,
Gypsophila pilosa,"TI=""Gypsophila pilosa"" OR AB=""Gypsophila pilosa"" OR AK=""Gypsophila pilosa""",Hildi,0,
Silene laxa,"TI=""Silene laxa"" OR AB=""Silene laxa"" OR AK=""Silene laxa""",Hildi,1,
Dianthus allwoodii,"TI=""Dianthus allwoodii"" OR AB=""Dianthus allwoodii"" OR AK=""Dianthus allwoodii""",Hildi,1,
Sabulina stricta,"TI=""Sabulina stricta"" OR AB=""Sabulina stricta"" OR AK=""Sabulina stricta""",Hildi,0,
Dianthus uzbekistanicus,"TI=""Dianthus uzbekistanicus"" OR AB=""Dianthus uzbekistanicus"" OR AK=""Dianthus uzbekistanicus""",Hildi,0,
Silene tachtensis,"TI=""Silene tachtensis"" OR AB=""Silene tachtensis"" OR AK=""Silene tachtensis""",Hildi,0,
Dianthus ugamicus,"TI=""Dianthus ugamicus"" OR AB=""Dianthus ugamicus"" OR AK=""Dianthus ugamicus""",Hildi,0,
Cerastium gracile,"TI=""Cerastium gracile"" OR AB=""Cerastium gracile"" OR AK=""Cerastium gracile""",Hildi,0,
Gypsophila capituliflora,"TI=""Gypsophila capituliflora"" OR AB=""Gypsophila capituliflora"" OR AK=""Gypsophila capituliflora""",Hildi,1,
Amaranthus retroflexus,"TI=""Amaranthus retroflexus"" OR AB=""Amaranthus retroflexus"" OR AK=""Amaranthus retroflexus""",Hildi,845,
Amaranthus hybridus,"TI=""Amaranthus hybridus"" OR AB=""Amaranthus hybridus"" OR AK=""Amaranthus hybridus""",Hildi,297,
Amaranthus graecizans,"TI=""Amaranthus graecizans"" OR AB=""Amaranthus graecizans"" OR AK=""Amaranthus graecizans""",Hildi,10,
Amaranthus blitoides,"TI=""Amaranthus blitoides"" OR AB=""Amaranthus blitoides"" OR AK=""Amaranthus blitoides""",Hildi,38,
Amaranthus tuberculatus,"TI=""Amaranthus tuberculatus"" OR AB=""Amaranthus tuberculatus"" OR AK=""Amaranthus tuberculatus""",Hildi,142,
Alternanthera philoxeroides,"TI=""Alternanthera philoxeroides"" OR AB=""Alternanthera philoxeroides"" OR AK=""Alternanthera philoxeroides""",Hildi,404,
Alternanthera ficoidea,"TI=""Alternanthera ficoidea"" OR AB=""Alternanthera ficoidea"" OR AK=""Alternanthera ficoidea""",Hildi,6,
Iresine diffusa,"TI=""Iresine diffusa"" OR AB=""Iresine diffusa"" OR AK=""Iresine diffusa""",Hildi,6,
Celosia argentea,"TI=""Celosia argentea"" OR AB=""Celosia argentea"" OR AK=""Celosia argentea""",Hildi,141,
Amaranthus caudatus,"TI=""Amaranthus caudatus"" OR AB=""Amaranthus caudatus"" OR AK=""Amaranthus caudatus""",Hildi,276,
Tidestromia lanuginosa,"TI=""Tidestromia lanuginosa"" OR AB=""Tidestromia lanuginosa"" OR AK=""Tidestromia lanuginosa""",Hildi,4,
Amaranthus australis,"TI=""Amaranthus australis"" OR AB=""Amaranthus australis"" OR AK=""Amaranthus australis""",Hildi,1,
Froelichia floridana,"TI=""Froelichia floridana"" OR AB=""Froelichia floridana"" OR AK=""Froelichia floridana""",Hildi,8,
Guilleminea densa,"TI=""Guilleminea densa"" OR AB=""Guilleminea densa"" OR AK=""Guilleminea densa""",Hildi,2,
Gomphrena globosa,"TI=""Gomphrena globosa"" OR AB=""Gomphrena globosa"" OR AK=""Gomphrena globosa""",Hildi,87,
Amaranthus viridis,"TI=""Amaranthus viridis"" OR AB=""Amaranthus viridis"" OR AK=""Amaranthus viridis""",Hildi,192,
Amaranthus powellii,"TI=""Amaranthus powellii"" OR AB=""Amaranthus powellii"" OR AK=""Amaranthus powellii""",Hildi,57,
Amaranthus tricolor,"TI=""Amaranthus tricolor"" OR AB=""Amaranthus tricolor"" OR AK=""Amaranthus tricolor""",Hildi,204,
Iresine rhizomatosa,"TI=""Iresine rhizomatosa"" OR AB=""Iresine rhizomatosa"" OR AK=""Iresine rhizomatosa""",Hildi,2,
Celosia cristata,"TI=""Celosia cristata"" OR AB=""Celosia cristata"" OR AK=""Celosia cristata""",Hildi,69,
Alternanthera elongata,"TI=""Alternanthera elongata"" OR AB=""Alternanthera elongata"" OR AK=""Alternanthera elongata""",Hildi,0,
Alternanthera puberula,"TI=""Alternanthera puberula"" OR AB=""Alternanthera puberula"" OR AK=""Alternanthera puberula""",Hildi,0,
Alternanthera ramosissima,"TI=""Alternanthera ramosissima"" OR AB=""Alternanthera ramosissima"" OR AK=""Alternanthera ramosissima""",Hildi,1,
Alternanthera moquinii,"TI=""Alternanthera moquinii"" OR AB=""Alternanthera moquinii"" OR AK=""Alternanthera moquinii""",Hildi,0,
Alternanthera dentata,"TI=""Alternanthera dentata"" OR AB=""Alternanthera dentata"" OR AK=""Alternanthera dentata""",Hildi,7,
Gomphrena umbellata,"TI=""Gomphrena umbellata"" OR AB=""Gomphrena umbellata"" OR AK=""Gomphrena umbellata""",Hildi,0,
Cyathula polycephala,"TI=""Cyathula polycephala"" OR AB=""Cyathula polycephala"" OR AK=""Cyathula polycephala""",Hildi,1,
Pupalia lappacea,"TI=""Pupalia lappacea"" OR AB=""Pupalia lappacea"" OR AK=""Pupalia lappacea""",Hildi,8,
Achyranthes bidentata,"TI=""Achyranthes bidentata"" OR AB=""Achyranthes bidentata"" OR AK=""Achyranthes bidentata""",Hildi,159,
Pedersenia argentata,"TI=""Pedersenia argentata"" OR AB=""Pedersenia argentata"" OR AK=""Pedersenia argentata""",Hildi,0,
Gomphrena elegans,"TI=""Gomphrena elegans"" OR AB=""Gomphrena elegans"" OR AK=""Gomphrena elegans""",Hildi,4,
Iresine calea,"TI=""Iresine calea"" OR AB=""Iresine calea"" OR AK=""Iresine calea""",Hildi,1,
Aerva javanica,"TI=""Aerva javanica"" OR AB=""Aerva javanica"" OR AK=""Aerva javanica""",Hildi,59,
Pfaffia iresinoides,"TI=""Pfaffia iresinoides"" OR AB=""Pfaffia iresinoides"" OR AK=""Pfaffia iresinoides""",Hildi,6,
Hebanthe eriantha,"TI=""Hebanthe eriantha"" OR AB=""Hebanthe eriantha"" OR AK=""Hebanthe eriantha""",Hildi,7,
Alternanthera pubiflora,"TI=""Alternanthera pubiflora"" OR AB=""Alternanthera pubiflora"" OR AK=""Alternanthera pubiflora""",Hildi,1,
Alternanthera albida,"TI=""Alternanthera albida"" OR AB=""Alternanthera albida"" OR AK=""Alternanthera albida""",Hildi,0,
Cyathula capitata,"TI=""Cyathula capitata"" OR AB=""Cyathula capitata"" OR AK=""Cyathula capitata""",Hildi,3,
Alternanthera porrigens,"TI=""Alternanthera porrigens"" OR AB=""Alternanthera porrigens"" OR AK=""Alternanthera porrigens""",Hildi,0,
Alternanthera laguroides,"TI=""Alternanthera laguroides"" OR AB=""Alternanthera laguroides"" OR AK=""Alternanthera laguroides""",Hildi,0,
Cyathula uncinulata,"TI=""Cyathula uncinulata"" OR AB=""Cyathula uncinulata"" OR AK=""Cyathula uncinulata""",Hildi,2,
Alternanthera mexicana,"TI=""Alternanthera mexicana"" OR AB=""Alternanthera mexicana"" OR AK=""Alternanthera mexicana""",Hildi,0,
Alternanthera calcicola,"TI=""Alternanthera calcicola"" OR AB=""Alternanthera calcicola"" OR AK=""Alternanthera calcicola""",Hildi,0,
Iresine angustifolia,"TI=""Iresine angustifolia"" OR AB=""Iresine angustifolia"" OR AK=""Iresine angustifolia""",Hildi,0,
Pfaffia glomerata,"TI=""Pfaffia glomerata"" OR AB=""Pfaffia glomerata"" OR AK=""Pfaffia glomerata""",Hildi,87,
Deeringia amaranthoides,"TI=""Deeringia amaranthoides"" OR AB=""Deeringia amaranthoides"" OR AK=""Deeringia amaranthoides""",Hildi,1,
Iresine elongata,"TI=""Iresine elongata"" OR AB=""Iresine elongata"" OR AK=""Iresine elongata""",Hildi,0,
Celosia trigyna,"TI=""Celosia trigyna"" OR AB=""Celosia trigyna"" OR AK=""Celosia trigyna""",Hildi,7,
Henonia scoparia,"TI=""Henonia scoparia"" OR AB=""Henonia scoparia"" OR AK=""Henonia scoparia""",Hildi,2,
Cyathula achyranthoides,"TI=""Cyathula achyranthoides"" OR AB=""Cyathula achyranthoides"" OR AK=""Cyathula achyranthoides""",Hildi,2,
Pfaffia gnaphaloides,"TI=""Pfaffia gnaphaloides"" OR AB=""Pfaffia gnaphaloides"" OR AK=""Pfaffia gnaphaloides""",Hildi,0,
Alternanthera obovata,"TI=""Alternanthera obovata"" OR AB=""Alternanthera obovata"" OR AK=""Alternanthera obovata""",Hildi,0,
Celosia esculenta,"TI=""Celosia esculenta"" OR AB=""Celosia esculenta"" OR AK=""Celosia esculenta""",Hildi,0,
Amaranthus blitum,"TI=""Amaranthus blitum"" OR AB=""Amaranthus blitum"" OR AK=""Amaranthus blitum""",Hildi,25,
Ptilotus polystachyus,"TI=""Ptilotus polystachyus"" OR AB=""Ptilotus polystachyus"" OR AK=""Ptilotus polystachyus""",Hildi,5,
Gomphrena serrata,"TI=""Gomphrena serrata"" OR AB=""Gomphrena serrata"" OR AK=""Gomphrena serrata""",Hildi,0,
Amaranthus dubius,"TI=""Amaranthus dubius"" OR AB=""Amaranthus dubius"" OR AK=""Amaranthus dubius""",Hildi,63,
Alternanthera sessilis,"TI=""Alternanthera sessilis"" OR AB=""Alternanthera sessilis"" OR AK=""Alternanthera sessilis""",Hildi,105,
Cyathula cylindrica,"TI=""Cyathula cylindrica"" OR AB=""Cyathula cylindrica"" OR AK=""Cyathula cylindrica""",Hildi,0,
Alternanthera nana,"TI=""Alternanthera nana"" OR AB=""Alternanthera nana"" OR AK=""Alternanthera nana""",Hildi,2,
Amaranthus cruentus,"TI=""Amaranthus cruentus"" OR AB=""Amaranthus cruentus"" OR AK=""Amaranthus cruentus""",Hildi,346,
Amaranthus interruptus,"TI=""Amaranthus interruptus"" OR AB=""Amaranthus interruptus"" OR AK=""Amaranthus interruptus""",Hildi,0,
Deeringia arborescens,"TI=""Deeringia arborescens"" OR AB=""Deeringia arborescens"" OR AK=""Deeringia arborescens""",Hildi,0,
Cyathula tomentosa,"TI=""Cyathula tomentosa"" OR AB=""Cyathula tomentosa"" OR AK=""Cyathula tomentosa""",Hildi,1,
Digera muricata,"TI=""Digera muricata"" OR AB=""Digera muricata"" OR AK=""Digera muricata""",Hildi,23,
Psilotrichum schimperi,"TI=""Psilotrichum schimperi"" OR AB=""Psilotrichum schimperi"" OR AK=""Psilotrichum schimperi""",Hildi,0,
Amaranthus schinzianus,"TI=""Amaranthus schinzianus"" OR AB=""Amaranthus schinzianus"" OR AK=""Amaranthus schinzianus""",Hildi,0,
Gomphrena perennis,"TI=""Gomphrena perennis"" OR AB=""Gomphrena perennis"" OR AK=""Gomphrena perennis""",Hildi,2,
Iresine pringlei,"TI=""Iresine pringlei"" OR AB=""Iresine pringlei"" OR AK=""Iresine pringlei""",Hildi,0,
Iresine latifolia,"TI=""Iresine latifolia"" OR AB=""Iresine latifolia"" OR AK=""Iresine latifolia""",Hildi,1,
Pfaffia sericea,"TI=""Pfaffia sericea"" OR AB=""Pfaffia sericea"" OR AK=""Pfaffia sericea""",Hildi,0,
Achyranthes japonica,"TI=""Achyranthes japonica"" OR AB=""Achyranthes japonica"" OR AK=""Achyranthes japonica""",Hildi,33,
Amaranthus hypochondriacus,"TI=""Amaranthus hypochondriacus"" OR AB=""Amaranthus hypochondriacus"" OR AK=""Amaranthus hypochondriacus""",Hildi,395,
Amaranthus polygonoides,"TI=""Amaranthus polygonoides"" OR AB=""Amaranthus polygonoides"" OR AK=""Amaranthus polygonoides""",Hildi,2,
Celosia anthelminthica,"TI=""Celosia anthelminthica"" OR AB=""Celosia anthelminthica"" OR AK=""Celosia anthelminthica""",Hildi,0,
Pityranthus chloranthus,"TI=""Pityranthus chloranthus"" OR AB=""Pityranthus chloranthus"" OR AK=""Pityranthus chloranthus""",Hildi,0,
Amaranthus albus,"TI=""Amaranthus albus"" OR AB=""Amaranthus albus"" OR AK=""Amaranthus albus""",Hildi,35,
Chamissoa altissima,"TI=""Chamissoa altissima"" OR AB=""Chamissoa altissima"" OR AK=""Chamissoa altissima""",Hildi,4,
Charpentiera obovata,"TI=""Charpentiera obovata"" OR AB=""Charpentiera obovata"" OR AK=""Charpentiera obovata""",Hildi,1,
Gomphrena iresinoides,"TI=""Gomphrena iresinoides"" OR AB=""Gomphrena iresinoides"" OR AK=""Gomphrena iresinoides""",Hildi,0,
Amaranthus pumilus,"TI=""Amaranthus pumilus"" OR AB=""Amaranthus pumilus"" OR AK=""Amaranthus pumilus""",Hildi,8,
Achyranthes longifolia,"TI=""Achyranthes longifolia"" OR AB=""Achyranthes longifolia"" OR AK=""Achyranthes longifolia""",Hildi,2,
Allmania nodiflora,"TI=""Allmania nodiflora"" OR AB=""Allmania nodiflora"" OR AK=""Allmania nodiflora""",Hildi,3,
Alternanthera pungens,"TI=""Alternanthera pungens"" OR AB=""Alternanthera pungens"" OR AK=""Alternanthera pungens""",Hildi,20,
Amaranthus crassipes,"TI=""Amaranthus crassipes"" OR AB=""Amaranthus crassipes"" OR AK=""Amaranthus crassipes""",Hildi,1,
Amaranthus candida,"TI=""Amaranthus candida"" OR AB=""Amaranthus candida"" OR AK=""Amaranthus candida""",Hildi,0,
Alternanthera brasiliana,"TI=""Alternanthera brasiliana"" OR AB=""Alternanthera brasiliana"" OR AK=""Alternanthera brasiliana""",Hildi,26,
Alternanthera flavescens,"TI=""Alternanthera flavescens"" OR AB=""Alternanthera flavescens"" OR AK=""Alternanthera flavescens""",Hildi,1,
Achyranthes sicula,"TI=""Achyranthes sicula"" OR AB=""Achyranthes sicula"" OR AK=""Achyranthes sicula""",Hildi,0,
Achyranthes hybridus,"TI=""Achyranthes hybridus"" OR AB=""Achyranthes hybridus"" OR AK=""Achyranthes hybridus""",Hildi,0,
Achyranthes powellii,"TI=""Achyranthes powellii"" OR AB=""Achyranthes powellii"" OR AK=""Achyranthes powellii""",Hildi,0,
Achyranthes blitum,"TI=""Achyranthes blitum"" OR AB=""Achyranthes blitum"" OR AK=""Achyranthes blitum""",Hildi,0,
Gomphrena martiana,"TI=""Gomphrena martiana"" OR AB=""Gomphrena martiana"" OR AK=""Gomphrena martiana""",Hildi,4,
Deeringia celosioides,"TI=""Deeringia celosioides"" OR AB=""Deeringia celosioides"" OR AK=""Deeringia celosioides""",Hildi,0,
Cyathula prostrata,"TI=""Cyathula prostrata"" OR AB=""Cyathula prostrata"" OR AK=""Cyathula prostrata""",Hildi,7,
Amaranthus muricatus,"TI=""Amaranthus muricatus"" OR AB=""Amaranthus muricatus"" OR AK=""Amaranthus muricatus""",Hildi,2,
Amaranthus deflexus,"TI=""Amaranthus deflexus"" OR AB=""Amaranthus deflexus"" OR AK=""Amaranthus deflexus""",Hildi,17,
Amaranthus macrocarpus,"TI=""Amaranthus macrocarpus"" OR AB=""Amaranthus macrocarpus"" OR AK=""Amaranthus macrocarpus""",Hildi,2,
Gomphrena haageana,"TI=""Gomphrena haageana"" OR AB=""Gomphrena haageana"" OR AK=""Gomphrena haageana""",Hildi,3,
Persicaria punctata,"TI=""Persicaria punctata"" OR AB=""Persicaria punctata"" OR AK=""Persicaria punctata""",Hildi,0,
Eriogonum marifolium,"TI=""Eriogonum marifolium"" OR AB=""Eriogonum marifolium"" OR AK=""Eriogonum marifolium""",Hildi,0,
Fallopia scandens,"TI=""Fallopia scandens"" OR AB=""Fallopia scandens"" OR AK=""Fallopia scandens""",Hildi,1,
Polygonum alaskanum,"TI=""Polygonum alaskanum"" OR AB=""Polygonum alaskanum"" OR AK=""Polygonum alaskanum""",Hildi,1,
Eriogonum elatum,"TI=""Eriogonum elatum"" OR AB=""Eriogonum elatum"" OR AK=""Eriogonum elatum""",Hildi,3,
Eriogonum wrightii,"TI=""Eriogonum wrightii"" OR AB=""Eriogonum wrightii"" OR AK=""Eriogonum wrightii""",Hildi,1,
Eriogonum umbellatum,"TI=""Eriogonum umbellatum"" OR AB=""Eriogonum umbellatum"" OR AK=""Eriogonum umbellatum""",Hildi,15,
Eriogonum deflexum,"TI=""Eriogonum deflexum"" OR AB=""Eriogonum deflexum"" OR AK=""Eriogonum deflexum""",Hildi,0,
Polygonum achoreum,"TI=""Polygonum achoreum"" OR AB=""Polygonum achoreum"" OR AK=""Polygonum achoreum""",Hildi,0,
Bistorta bistortoides,"TI=""Bistorta bistortoides"" OR AB=""Bistorta bistortoides"" OR AK=""Bistorta bistortoides""",Hildi,8,
Rumex obtusifolius,"TI=""Rumex obtusifolius"" OR AB=""Rumex obtusifolius"" OR AK=""Rumex obtusifolius""",Hildi,209,
Persicaria glabra,"TI=""Persicaria glabra"" OR AB=""Persicaria glabra"" OR AK=""Persicaria glabra""",Hildi,2,
Persicaria sagittata,"TI=""Persicaria sagittata"" OR AB=""Persicaria sagittata"" OR AK=""Persicaria sagittata""",Hildi,1,
Persicaria hydropiperoides,"TI=""Persicaria hydropiperoides"" OR AB=""Persicaria hydropiperoides"" OR AK=""Persicaria hydropiperoides""",Hildi,2,
Eriogonum racemosum,"TI=""Eriogonum racemosum"" OR AB=""Eriogonum racemosum"" OR AK=""Eriogonum racemosum""",Hildi,1,
Polygonum ramosissimum,"TI=""Polygonum ramosissimum"" OR AB=""Polygonum ramosissimum"" OR AK=""Polygonum ramosissimum""",Emily,0,
Persicaria virginiana,"TI=""Persicaria virginiana"" OR AB=""Persicaria virginiana"" OR AK=""Persicaria virginiana""",Emily,0,
Polygonum viviparum,"TI=""Polygonum viviparum"" OR AB=""Polygonum viviparum"" OR AK=""Polygonum viviparum""",Emily,55,
Coccoloba uvifera,"TI=""Coccoloba uvifera"" OR AB=""Coccoloba uvifera"" OR AK=""Coccoloba uvifera""",Emily,27,
Rumex paucifolius,"TI=""Rumex paucifolius"" OR AB=""Rumex paucifolius"" OR AK=""Rumex paucifolius""",Emily,0,
Persicaria lapathifolia,"TI=""Persicaria lapathifolia"" OR AB=""Persicaria lapathifolia"" OR AK=""Persicaria lapathifolia""",Emily,31,
Koenigia davisiae,"TI=""Koenigia davisiae"" OR AB=""Koenigia davisiae"" OR AK=""Koenigia davisiae""",Emily,0,
Persicaria maculosa,"TI=""Persicaria maculosa"" OR AB=""Persicaria maculosa"" OR AK=""Persicaria maculosa""",Emily,19,
Persicaria amphibia,"TI=""Persicaria amphibia"" OR AB=""Persicaria amphibia"" OR AK=""Persicaria amphibia""",Emily,12,
Eriogonum pauciflorum,"TI=""Eriogonum pauciflorum"" OR AB=""Eriogonum pauciflorum"" OR AK=""Eriogonum pauciflorum""",Emily,3,
Persicaria pensylvanica,"TI=""Persicaria pensylvanica"" OR AB=""Persicaria pensylvanica"" OR AK=""Persicaria pensylvanica""",Emily,7,
Polygonum polygaloides,"TI=""Polygonum polygaloides"" OR AB=""Polygonum polygaloides"" OR AK=""Polygonum polygaloides""",Emily,0,
Fagopyrum esculentum,"TI=""Fagopyrum esculentum"" OR AB=""Fagopyrum esculentum"" OR AK=""Fagopyrum esculentum""",Emily,1007,
Rumex persicarioides,"TI=""Rumex persicarioides"" OR AB=""Rumex persicarioides"" OR AK=""Rumex persicarioides""",Emily,0,
Persicaria hydropiper,"TI=""Persicaria hydropiper"" OR AB=""Persicaria hydropiper"" OR AK=""Persicaria hydropiper""",Emily,27,
Eriogonum flavum,"TI=""Eriogonum flavum"" OR AB=""Eriogonum flavum"" OR AK=""Eriogonum flavum""",Emily,0,
Coccoloba diversifolia,"TI=""Coccoloba diversifolia"" OR AB=""Coccoloba diversifolia"" OR AK=""Coccoloba diversifolia""",Emily,4,
Oxyria digyna,"TI=""Oxyria digyna"" OR AB=""Oxyria digyna"" OR AK=""Oxyria digyna""",Emily,60,
Eriogonum strictum,"TI=""Eriogonum strictum"" OR AB=""Eriogonum strictum"" OR AK=""Eriogonum strictum""",Emily,0,
Persicaria orientalis,"TI=""Persicaria orientalis"" OR AB=""Persicaria orientalis"" OR AK=""Persicaria orientalis""",Emily,5,
Rumex hastatulus,"TI=""Rumex hastatulus"" OR AB=""Rumex hastatulus"" OR AK=""Rumex hastatulus""",Emily,17,
Polygonum aviculare,"TI=""Polygonum aviculare"" OR AB=""Polygonum aviculare"" OR AK=""Polygonum aviculare""",Emily,218,
Polygonum erectum,"TI=""Polygonum erectum"" OR AB=""Polygonum erectum"" OR AK=""Polygonum erectum""",Emily,8,
Rumex hymenosepalus,"TI=""Rumex hymenosepalus"" OR AB=""Rumex hymenosepalus"" OR AK=""Rumex hymenosepalus""",Emily,11,
Polygonum phytolaccaefolium,"TI=""Polygonum phytolaccaefolium"" OR AB=""Polygonum phytolaccaefolium"" OR AK=""Polygonum phytolaccaefolium""",Emily,0,
Persicaria bistorta,"TI=""Persicaria bistorta"" OR AB=""Persicaria bistorta"" OR AK=""Persicaria bistorta""",Emily,10,
Eriogonum blissianum,"TI=""Eriogonum blissianum"" OR AB=""Eriogonum blissianum"" OR AK=""Eriogonum blissianum""",Emily,0,
Rumex acetosella,"TI=""Rumex acetosella"" OR AB=""Rumex acetosella"" OR AK=""Rumex acetosella""",Emily,174,
Eriogonum subreniforme,"TI=""Eriogonum subreniforme"" OR AB=""Eriogonum subreniforme"" OR AK=""Eriogonum subreniforme""",Emily,0,
Antigonon leptopus,"TI=""Antigonon leptopus"" OR AB=""Antigonon leptopus"" OR AK=""Antigonon leptopus""",Emily,40,
Polygonella articulata,"TI=""Polygonella articulata"" OR AB=""Polygonella articulata"" OR AK=""Polygonella articulata""",Emily,1,
Eriogonum arborescens,"TI=""Eriogonum arborescens"" OR AB=""Eriogonum arborescens"" OR AK=""Eriogonum arborescens""",Emily,5,
Polygonum kelloggii,"TI=""Polygonum kelloggii"" OR AB=""Polygonum kelloggii"" OR AK=""Polygonum kelloggii""",Emily,1,
Eriogonum chrysops,"TI=""Eriogonum chrysops"" OR AB=""Eriogonum chrysops"" OR AK=""Eriogonum chrysops""",Emily,0,
Rumex britannica,"TI=""Rumex britannica"" OR AB=""Rumex britannica"" OR AK=""Rumex britannica""",Emily,0,
Rheum rhabarbarum,"TI=""Rheum rhabarbarum"" OR AB=""Rheum rhabarbarum"" OR AK=""Rheum rhabarbarum""",Emily,46,
Rumex venosus,"TI=""Rumex venosus"" OR AB=""Rumex venosus"" OR AK=""Rumex venosus""",Emily,0,
Persicaria arifolia,"TI=""Persicaria arifolia"" OR AB=""Persicaria arifolia"" OR AK=""Persicaria arifolia""",Emily,0,
Rumex salicifolius,"TI=""Rumex salicifolius"" OR AB=""Rumex salicifolius"" OR AK=""Rumex salicifolius""",Emily,1,
Eriogonum giganteum,"TI=""Eriogonum giganteum"" OR AB=""Eriogonum giganteum"" OR AK=""Eriogonum giganteum""",Emily,2,
Rheum rhaponticum,"TI=""Rheum rhaponticum"" OR AB=""Rheum rhaponticum"" OR AK=""Rheum rhaponticum""",Emily,50,
Chorizanthe pungens,"TI=""Chorizanthe pungens"" OR AB=""Chorizanthe pungens"" OR AK=""Chorizanthe pungens""",Emily,4,
Eriogonum microtheca,"TI=""Eriogonum microtheca"" OR AB=""Eriogonum microtheca"" OR AK=""Eriogonum microtheca""",Emily,0,
Persicaria careyi,"TI=""Persicaria careyi"" OR AB=""Persicaria careyi"" OR AK=""Persicaria careyi""",Emily,0,
Coccoloba pubescens,"TI=""Coccoloba pubescens"" OR AB=""Coccoloba pubescens"" OR AK=""Coccoloba pubescens""",Emily,1,
Koenigia alpina,"TI=""Koenigia alpina"" OR AB=""Koenigia alpina"" OR AK=""Koenigia alpina""",Emily,0,
Muehlenbeckia platyclados,"TI=""Muehlenbeckia platyclados"" OR AB=""Muehlenbeckia platyclados"" OR AK=""Muehlenbeckia platyclados""",Emily,0,
Rumex alpinus,"TI=""Rumex alpinus"" OR AB=""Rumex alpinus"" OR AK=""Rumex alpinus""",Emily,21,
Fallopia cilinode,"TI=""Fallopia cilinode"" OR AB=""Fallopia cilinode"" OR AK=""Fallopia cilinode""",Emily,0,
Eriogonum alatum,"TI=""Eriogonum alatum"" OR AB=""Eriogonum alatum"" OR AK=""Eriogonum alatum""",Emily,1,
Eriogonum trichopes,"TI=""Eriogonum trichopes"" OR AB=""Eriogonum trichopes"" OR AK=""Eriogonum trichopes""",Emily,0,
Brunnichia ovata,"TI=""Brunnichia ovata"" OR AB=""Brunnichia ovata"" OR AK=""Brunnichia ovata""",Emily,15,
Eriogonum brevicaule,"TI=""Eriogonum brevicaule"" OR AB=""Eriogonum brevicaule"" OR AK=""Eriogonum brevicaule""",Emily,1,
Eriogonum ovalifolium,"TI=""Eriogonum ovalifolium"" OR AB=""Eriogonum ovalifolium"" OR AK=""Eriogonum ovalifolium""",Emily,9,
Eriogonum jamesii,"TI=""Eriogonum jamesii"" OR AB=""Eriogonum jamesii"" OR AK=""Eriogonum jamesii""",Emily,2,
Rheum officinale,"TI=""Rheum officinale"" OR AB=""Rheum officinale"" OR AK=""Rheum officinale""",Emily,141,
Eriogonum thymoides,"TI=""Eriogonum thymoides"" OR AB=""Eriogonum thymoides"" OR AK=""Eriogonum thymoides""",Emily,0,
Eriogonum effusum,"TI=""Eriogonum effusum"" OR AB=""Eriogonum effusum"" OR AK=""Eriogonum effusum""",Emily,0,
Eriogonum roseum,"TI=""Eriogonum roseum"" OR AB=""Eriogonum roseum"" OR AK=""Eriogonum roseum""",Emily,0,
