,Primate_host,Mating_System,Presence_of_Mating_Season,Mating_Season_Length,Presence_of_Birthing_Season,Birth_Season_Length,Gestation_Period,Male_kg,Female_kg,Mean_lat_GMPD,GMPD_citations,WoS_citations,Total_PSR,Chao_PSR,TotaltrepPrev,TotalSIVPrev,SexualPSR,VerticalPSR,directPSR,indirectPSR,ClosePSR,NonclosePSR,VectorPSR,IntermediatePSR,Sexual_chao,Vertical_chao,Direct_chao,Indirect_chao,CloseT_chao,Nonclose_chao,Vector_chao,Intermediate_chao,BE07phy_species,TenkTr_species
67,Lemur_fulvus,Polygamy,Y,2,Y,3,120,2.18,2.25,-19.41140556,13,70,26,81.125,NA,NA,NA,1,23,4,14,19,3,NA,NA,NA,63.5,10,86,56.5,6,NA,Eulemur_fulvus,Petterus_fulvus
68,Lemur_macaco,Polygamy,Y,4,Y,1,122,1.88,1.76,-17.446,7,22,14,50,NA,NA,NA,NA,10,6,6,9,1,2,NA,NA,26,21,18.5,21.25,NA,3,Eulemur_macaco,Petterus_macaco
69,Lemur_mongoz,Monogamy,Y,3,Y,2,128,1.41,1.56,-18.73666667,2,17,4,10,NA,NA,NA,NA,3,1,2,2,1,NA,NA,NA,6,NA,3,3,NA,NA,Eulemur_mongoz,Petterus_mongoz
70,Lemur_rubriventer,Monogamy,Y,NA,Y,2.5,126,1.98,1.94,-21.26,3,10,6,21,NA,NA,NA,NA,5,1,4,5,NA,1,NA,NA,15,NA,10,15,NA,NA,Eulemur_rubriventer,Petterus_rubriventer
71,Leontopithecus_chrysomelas,Monogamy,Y,7,NA,NA,129,0.62,0.535,-14.7275,4,96,3,5,NA,NA,NA,NA,NA,3,NA,NA,2,1,NA,NA,NA,5,NA,NA,2.5,NA,Leontopithecus_chrysomelas,Leontopithecus_chrysomelas
72,Leontopithecus_rosalia,Monogamy,Y,NA,Y,NA,130,0.62,0.598,-28.24071429,7,168,9,33.5,NA,NA,NA,NA,5,4,4,5,1,2,NA,NA,15,6,10,15,NA,2.5,Leontopithecus_rosalia,Leontopithecus_rosalia
73,Lepilemur_mustelinus,Monogamy,Y,1.5,Y,1.5,176,0.761,0.779,-19.31785152,10,11,16,52,NA,NA,NA,NA,13,4,6,7,3,NA,NA,NA,33.25,10,10,15,6,NA,Lepilemur_mustelinus,Lepilemur_mustelinus
74,Macaca_arctoides,Polygamy,Y,3,NA,NA,182.4,12.2,8.4,14.45,2,349,2,3,NA,NA,1,1,2,NA,2,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,Macaca_arctoides,Macaca_arctoides
75,Macaca_assamensis,Polygamy,Y,5,Y,4,164,11.3,6.9,23.515,2,88,2,3,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,NA,NA,3,NA,Macaca_assamensis,Macaca_assamensis
76,Macaca_cyclopis,Polygamy,Y,4,Y,3,167,6,4.94,23.77142857,7,81,8,17,NA,NA,NA,NA,1,7,1,1,5,2,NA,NA,NA,13.25,NA,NA,7.25,3,Macaca_cyclopis,Macaca_cyclopis
77,Macaca_fascicularis,Polygyny,N,12,Y,5,162,5.36,3.59,3.821099609,31,4108,47,87.90909091,0,NA,1,2,28,21,8,16,12,7,NA,2.5,76.4,27.75,17,31.125,12.4,25,Macaca_fascicularis,Macaca_fascicularis
78,Macaca_fuscata,Polygamy,Y,8,Y,NA,173,11,8.03,34.47659733,24,1271,20,50.25,NA,NA,1,1,15,7,10,11,1,5,NA,NA,55.5,11.5,34.5,39,NA,7,Macaca_fuscata,Macaca_fuscata
79,Macaca_maurus,Polygyny,NA,NA,N,12,175,9.72,6.05,-3.5,2,15,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macaca_maura,Macaca_maurus
